Date,Temperature
2026-05-09T00:00,24.8
2026-05-09T01:00,25.3
2026-05-09T02:00,26.6
2026-05-09T03:00,28.6
2026-05-09T04:00,30.8
2026-05-09T05:00,32.5
2026-05-09T06:00,33.5
2026-05-09T07:00,34.7
2026-05-09T08:00,35.2
2026-05-09T09:00,35.5
2026-05-09T10:00,35.5
2026-05-09T11:00,35.2
